Tüm Tarihlerdeki İşlem Sayıları:
Tarih: 2025-12-09 | Sayı: 23 | Tutar: 359205.79
Tarih: 2025-12-10 | Sayı: 24 | Tutar: 228151.39
Tarih: 2025-12-11 | Sayı: 43 | Tutar: -89434.06
Tarih: 2025-12-12 | Sayı: 26 | Tutar: 2031219.40
Tarih: 2025-12-13 | Sayı: 45 | Tutar: -2155095.13
Tarih: 2025-12-14 | Sayı: 51 | Tutar: 2466662.55
Tarih: 2025-12-15 | Sayı: 47 | Tutar: -1701038.74
Tarih: 2025-12-16 | Sayı: 28 | Tutar: -1296510.64
Tarih: 2025-12-17 | Sayı: 15 | Tutar: 79609.54
Tarih: 2025-12-18 | Sayı: 19 | Tutar: 28555.32
Tarih: 2025-12-19 | Sayı: 36 | Tutar: -812779.38
Tarih: 2025-12-20 | Sayı: 24 | Tutar: -18907.57
Tarih: 2025-12-21 | Sayı: 28 | Tutar: 230826.04
Tarih: 2025-12-22 | Sayı: 37 | Tutar: 388180.04
Tarih: 2025-12-23 | Sayı: 31 | Tutar: 631947.57
Tarih: 2025-12-24 | Sayı: 24 | Tutar: -432692.46
Tarih: 2025-12-25 | Sayı: 32 | Tutar: -278097.32
Tarih: 2025-12-26 | Sayı: 35 | Tutar: 1874188.40
Tarih: 2025-12-27 | Sayı: 16 | Tutar: 393239.51
Tarih: 2025-12-28 | Sayı: 17 | Tutar: -309610.71
Tarih: 2025-12-29 | Sayı: 27 | Tutar: -823494.15
Tarih: 2025-12-30 | Sayı: 5 | Tutar: -42077.44
Tarih: 2025-12-31 | Sayı: 16 | Tutar: 166391.01
Tarih: 2026-01-01 | Sayı: 36 | Tutar: -6424.40
Tarih: 2026-01-02 | Sayı: 59 | Tutar: -445435.61
Tarih: 2026-01-03 | Sayı: 31 | Tutar: -356820.78
Tarih: 2026-01-04 | Sayı: 16 | Tutar: -35448.22
Tarih: 2026-01-05 | Sayı: 26 | Tutar: 524012.20
Tarih: 2026-01-06 | Sayı: 18 | Tutar: 454500.23
Tarih: 2026-01-07 | Sayı: 35 | Tutar: 467885.04
Tarih: 2026-01-08 | Sayı: 14 | Tutar: -400290.62
Tarih: 2026-01-09 | Sayı: 23 | Tutar: -324032.52
Tarih: 2026-01-10 | Sayı: 26 | Tutar: -46498.99
Tarih: 2026-01-11 | Sayı: 26 | Tutar: -124800.95
Tarih: 2026-01-12 | Sayı: 75 | Tutar: 2213851.42
Tarih: 2026-01-13 | Sayı: 13 | Tutar: 1139084.86
Tarih: 2026-01-14 | Sayı: 20 | Tutar: -47596.46
Tarih: 2026-01-15 | Sayı: 21 | Tutar: -53285.17
Tarih: 2026-01-16 | Sayı: 23 | Tutar: -926824.63
Tarih: 2026-01-17 | Sayı: 12 | Tutar: -79296.77
Tarih: 2026-01-18 | Sayı: 27 | Tutar: -1280784.21
Tarih: 2026-01-19 | Sayı: 26 | Tutar: 104301.24
Tarih: 2026-01-20 | Sayı: 8 | Tutar: -9466.04
Tarih: 2026-01-21 | Sayı: 16 | Tutar: -99684.15
Tarih: 2026-01-22 | Sayı: 19 | Tutar: 288561.13
Tarih: 2026-01-23 | Sayı: 22 | Tutar: 25820.45
Tarih: 2026-01-24 | Sayı: 29 | Tutar: -1603317.63
Tarih: 2026-01-25 | Sayı: 40 | Tutar: 59588.96
Tarih: 2026-01-26 | Sayı: 17 | Tutar: -295290.01
Tarih: 2026-01-27 | Sayı: 25 | Tutar: -89068.96
Tarih: 2026-01-28 | Sayı: 20 | Tutar: -101043.13
Tarih: 2026-01-29 | Sayı: 36 | Tutar: -889589.55
Tarih: 2026-01-30 | Sayı: 14 | Tutar: -58870.89
Tarih: 2026-01-31 | Sayı: 23 | Tutar: -62771.15
Tarih: 2026-02-01 | Sayı: 51 | Tutar: 525550.85
Tarih: 2026-02-02 | Sayı: 82 | Tutar: 2680043.67
Tarih: 2026-02-03 | Sayı: 19 | Tutar: -13000.66
Tarih: 2026-02-04 | Sayı: 22 | Tutar: -109783.37
Tarih: 2026-02-05 | Sayı: 25 | Tutar: 12580.80
Tarih: 2026-02-06 | Sayı: 43 | Tutar: 283431.22
Tarih: 2026-02-07 | Sayı: 25 | Tutar: -691380.58
Tarih: 2026-02-08 | Sayı: 61 | Tutar: -139996.26
Tarih: 2026-02-09 | Sayı: 2 | Tutar: 98500.00
